date,state,death_cnt,case_cnt,day_since100
2020-03-04,GA,0.0,2,-12
2020-03-05,GA,0.0,2,-11
2020-03-06,GA,0.0,2,-10
2020-03-07,GA,0.0,6,-9
2020-03-08,GA,0.0,7,-8
2020-03-09,GA,0.0,12,-7
2020-03-10,GA,0.0,17,-6
2020-03-11,GA,0.0,22,-5
2020-03-12,GA,0.0,31,-4
2020-03-13,GA,1.0,42,-3
2020-03-14,GA,1.0,66,-2
2020-03-15,GA,1.0,99,-1
2020-03-16,GA,1.0,121,0
2020-03-17,GA,1.0,146,1
2020-03-18,GA,1.0,197,2
2020-03-19,GA,10.0,287,3
2020-03-20,GA,13.0,420,4
2020-03-21,GA,14.0,507,5
2020-03-22,GA,23.0,600,6
2020-03-23,GA,25.0,772,7
2020-03-24,GA,32.0,1026,8
2020-03-25,GA,40.0,1247,9
2020-03-26,GA,48.0,1525,10
2020-03-27,GA,64.0,2001,11
2020-03-28,GA,69.0,2366,12
2020-03-29,GA,80.0,2651,13
2020-03-30,GA,87.0,2809,14
2020-03-31,GA,111.0,3929,15
2020-04-01,GA,139.0,4638,16
2020-04-02,GA,163.0,5348,17
2020-04-03,GA,184.0,5831,18
2020-04-04,GA,201.0,6160,19
2020-04-05,GA,211.0,6647,20
2020-04-06,GA,229.0,7314,21
2020-04-07,GA,329.0,8818,22
2020-04-08,GA,362.0,9901,23
2020-04-09,GA,379.0,10566,24
2020-04-10,GA,416.0,11483,25
2020-04-11,GA,428.0,12159,26
2020-04-12,GA,433.0,12452,27
2020-04-13,GA,464.0,13315,28
2020-04-14,GA,501.0,14223,29
2020-04-15,GA,552.0,14987,30
2020-04-16,GA,587.0,15669,31
2020-04-17,GA,650.0,17194,32
2020-04-18,GA,673.0,17669,33
2020-04-19,GA,687.0,18301,34
2020-04-20,GA,733.0,18947,35
2020-04-21,GA,799.0,19881,36
2020-04-22,GA,836.0,20740,37
2020-04-23,GA,872.0,21512,38
2020-04-24,GA,892.0,22147,39
2020-04-25,GA,904.0,22695,40
2020-04-26,GA,912.0,23401,41
2020-04-27,GA,971.0,23913,42
2020-04-28,GA,1026.0,24615,43
2020-04-29,GA,1093.0,25572,44
2020-04-30,GA,1120.0,26155,45
2020-05-01,GA,1154.0,27270,46
2020-05-02,GA,1174.0,28306,47
2020-05-03,GA,1177.0,28602,48
2020-05-04,GA,1222.0,29368,49
2020-05-05,GA,1288.0,29711,50
2020-05-06,GA,1311.0,30696,51
2020-05-07,GA,1336.0,31439,52
2020-05-08,GA,1377.0,32106,53
2020-05-09,GA,1400.0,32532,54
2020-05-10,GA,1405.0,33441,55
