date,region,death_cnt,case_cnt,day_since100
2020-03-06,CA,0.0,60,-3
2020-03-07,CA,0.0,69,-2
2020-03-08,CA,0.0,88,-1
2020-03-09,CA,0.0,114,0
2020-03-10,CA,0.0,133,1
2020-03-11,CA,0.0,157,2
2020-03-12,CA,0.0,202,3
2020-03-13,CA,0.0,202,4
2020-03-14,CA,5.0,252,5
2020-03-15,CA,5.0,293,6
2020-03-16,CA,6.0,335,7
2020-03-17,CA,11.0,483,8
2020-03-18,CA,13.0,611,9
2020-03-19,CA,18.0,924,10
2020-03-20,CA,20.0,1063,11
2020-03-21,CA,24.0,1279,12
2020-03-22,CA,27.0,1536,13
2020-03-23,CA,27.0,1733,14
2020-03-24,CA,40.0,2102,15
2020-03-25,CA,53.0,2355,16
2020-03-26,CA,65.0,3006,17
2020-03-27,CA,78.0,3879,18
2020-03-28,CA,101.0,4643,19
2020-03-29,CA,123.0,5708,20
2020-03-30,CA,133.0,6447,21
2020-03-31,CA,153.0,7482,22
2020-04-01,CA,171.0,8155,23
2020-04-02,CA,203.0,9191,24
2020-04-03,CA,237.0,10701,25
2020-04-04,CA,276.0,12026,26
2020-04-05,CA,319.0,13438,27
2020-04-06,CA,343.0,14336,28
2020-04-07,CA,374.0,15865,29
2020-04-08,CA,442.0,16957,30
2020-04-09,CA,492.0,18309,31
2020-04-10,CA,541.0,19472,32
2020-04-11,CA,609.0,20615,33
2020-04-12,CA,651.0,21794,34
2020-04-13,CA,687.0,22348,35
2020-04-14,CA,758.0,23338,36
2020-04-15,CA,821.0,24424,37
2020-04-16,CA,890.0,26182,38
2020-04-17,CA,985.0,27528,39
2020-04-18,CA,1072.0,28963,40
2020-04-19,CA,1166.0,30333,41
2020-04-20,CA,1208.0,30978,42
2020-04-21,CA,1268.0,33261,43
2020-04-22,CA,1354.0,35396,44
2020-04-23,CA,1469.0,37369,45
2020-04-24,CA,1562.0,39254,46
2020-04-25,CA,1651.0,41137,47
2020-04-26,CA,1710.0,42164,48
2020-04-27,CA,1755.0,43464,49
2020-04-28,CA,1809.0,45031,50
2020-04-29,CA,1887.0,46500,51
2020-04-30,CA,1982.0,48917,52
2020-05-01,CA,2073.0,50442,53
2020-05-02,CA,2171.0,52197,54
2020-05-03,CA,2215.0,53616,55
2020-05-04,CA,2254.0,54937,56
2020-05-05,CA,2317.0,56212,57
2020-05-06,CA,2412.0,58815,58
2020-05-07,CA,2504.0,60614,59
2020-05-08,CA,2585.0,62512,60
2020-05-09,CA,2678.0,64561,61
2020-05-10,CA,2745.0,66680,62
2020-05-11,CA,2770.0,67939,63
